id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones,anio_venta,mes_venta
1,5,10,2,2,2025-06-11,2025-07-09,36,140.0,Telefono,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2025,6
2,1,13,1,1,2022-12-13,2023-01-02,37,123.12,Web,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra,2022,12
3,9,20,5,12,2023-10-24,2023-11-16,22,162.0,Telefono,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2023,10
4,15,13,11,13,2024-12-23,2025-01-14,21,9.1,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2024,12
5,5,18,2,2,2024-09-18,2024-10-10,15,147.0,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasaje con equipaje extra,2024,9
6,7,14,3,3,2023-03-30,2023-04-28,41,108.9,Web,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra,2023,3
7,5,18,2,2,2025-02-19,2025-03-04,42,131.6,Agente,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasaje con equipaje extra,2025,2
8,1,4,1,1,2023-04-15,2023-05-10,25,97.2,Ventanilla,Viajado,10.0,ANA LUISA CONDORI HUANCA,Sin observaciones,2023,4
9,14,14,10,13,2025-12-12,2025-12-24,46,22.5,Telefono,Viajado,10.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasajero adulto mayor,2025,12
10,10,13,6,10,2025-02-15,2025-02-19,32,78.3,Telefono,Cancelado,0.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2025,2
11,14,6,10,13,2023-06-16,2023-06-21,4,28.5,Ventanilla,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2023,6
12,15,17,11,13,2024-08-06,2024-08-07,30,9.2,Ventanilla,Cancelado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra,2024,8
13,1,3,1,1,2024-05-10,2024-05-20,30,106.92,Agente,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor,2024,5
14,8,8,4,11,2024-11-15,2024-12-12,7,72.8,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2024,11
15,13,17,8,4,2025-11-14,2025-11-29,9,30.8,Telefono,Cancelado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Sin observaciones,2025,11
16,13,12,8,4,2023-12-19,2024-01-07,44,31.15,Telefono,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2023,12
17,4,4,1,5,2024-12-17,2024-12-30,34,129.6,Telefono,Viajado,0.0,ANA LUISA CONDORI HUANCA,Pasajero adulto mayor,2024,12
18,2,17,1,1,2024-04-21,2024-05-09,7,135.6,Telefono,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasajero adulto mayor,2024,4
19,3,10,1,3,2023-06-18,2023-07-13,11,132.0,Web,Viajado,0.0,JUAN CARLOS,Sin observaciones,2023,6
20,7,4,3,3,2023-07-22,2023-08-21,7,94.6,Web,Viajado,0.0,SIN REGISTRO,Pasajero adulto mayor,2023,7
21,3,17,1,3,2025-09-19,2025-09-25,33,111.24,Web,Viajado,10.0,RICARDO ERNESTO PONCE MONTAÑO,Pasajero adulto mayor,2025,9
22,5,17,2,2,2025-02-22,2025-03-20,41,151.2,Agente,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra,2025,2
23,15,12,11,13,2025-02-21,2025-02-26,46,9.4,Agente,Viajado,0.0,MARIA ELENA FLORES,Sin observaciones,2025,2
24,7,8,3,3,2025-07-03,2025-07-11,37,118.8,Agente,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra,2025,7
25,11,17,7,4,2023-10-31,2023-11-19,8,35.2,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasajero adulto mayor,2023,10
26,4,8,1,5,2025-10-26,2025-11-01,28,122.4,Ventanilla,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra,2025,10
27,9,18,5,12,2025-05-10,2025-05-31,15,147.0,Web,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Sin observaciones,2025,5
28,8,11,4,11,2025-08-18,2025-09-13,24,69.3,Ventanilla,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2025,8
29,10,2,6,10,2023-05-25,2023-06-17,36,82.62,Telefono,Viajado,10.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2023,5
30,9,18,5,12,2023-04-28,2023-05-01,34,142.5,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Sin observaciones,2023,4
31,5,20,2,2,2024-10-31,2024-11-28,45,131.6,Telefono,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Sin observaciones,2024,10
32,1,19,1,1,2025-01-02,2025-01-06,5,116.64,Ventanilla,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2025,1
33,9,9,5,12,2023-12-07,2023-12-29,46,144.0,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra,2023,12
34,15,1,11,13,2025-04-04,2025-05-02,43,11.2,Telefono,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2025,4
35,13,12,8,4,2025-06-17,2025-06-18,30,33.25,Web,Cancelado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasajero adulto mayor,2025,6
36,8,3,4,11,2024-11-28,2024-12-21,11,78.4,Agente,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,11
37,6,1,2,8,2025-07-22,2025-07-27,16,124.74,Web,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2025,7
38,8,20,4,11,2025-05-07,2025-05-18,42,71.4,Web,Viajado,0.0,JUAN CARLOS,Pasajero adulto mayor,2025,5
39,4,13,1,5,2023-12-21,2023-12-23,24,120.0,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasajero adulto mayor,2023,12
40,8,13,4,11,2024-04-24,2024-04-25,11,73.5,Telefono,Viajado,0.0,SIN REGISTRO,Sin observaciones,2024,4
41,10,19,6,10,2025-07-26,2025-08-09,18,84.6,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2025,7
42,13,3,8,4,2024-12-09,2024-12-19,13,34.34,Telefono,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Pasaje con equipaje extra,2024,12
43,8,9,4,11,2025-12-16,2025-12-24,37,54.18,Agente,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra,2025,12
44,5,8,2,2,2024-12-14,2025-01-12,27,128.8,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2024,12
45,14,12,10,13,2023-08-26,2023-09-25,13,25.5,Ventanilla,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasaje con equipaje extra,2023,8
46,12,6,7,6,2024-01-22,2024-02-10,20,33.48,Web,Viajado,10.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2024,1
47,4,20,1,5,2023-04-12,2023-04-29,2,112.32,Ventanilla,Viajado,10.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2023,4
48,11,20,7,4,2024-01-23,2024-02-14,20,32.4,Web,Viajado,10.0,CARMEN ROSA OPORTO FLORES,Sin observaciones,2024,1
49,11,6,7,4,2023-11-18,2023-12-17,44,45.6,Agente,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Pasaje con equipaje extra,2023,11
50,5,2,2,2,2023-12-05,2023-12-12,44,124.6,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2023,12
51,8,4,4,11,2025-08-12,2025-08-30,12,78.4,Agente,Viajado,0.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra,2025,8
52,5,9,2,2,2024-07-14,2024-07-27,12,138.6,Telefono,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones,2024,7
53,8,19,4,11,2023-06-07,2023-06-29,37,58.59,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2023,6
54,10,20,6,10,2023-12-21,2023-12-29,18,82.8,Web,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2023,12
55,9,7,5,12,2024-05-14,2024-05-16,17,132.3,Agente,Cancelado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasajero adulto mayor,2024,5
56,6,19,2,8,2023-06-06,2023-06-29,40,145.6,Agente,Cancelado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2023,6
57,12,18,7,6,2024-03-19,2024-04-06,39,38.0,Telefono,Viajado,0.0,JUAN CARLOS,Pasaje con equipaje extra,2024,3
58,7,16,3,3,2023-11-02,2023-11-29,43,101.97,Web,Cancelado,10.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2023,11
59,11,3,7,4,2023-07-09,2023-07-27,7,30.6,Telefono,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2023,7
60,4,6,1,5,2023-07-07,2023-07-25,13,108.0,Telefono,Viajado,10.0,SIN REGISTRO,Pasaje con equipaje extra,2023,7
61,10,16,6,10,2023-03-28,2023-03-31,6,76.14,Agente,Viajado,10.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2023,3
62,15,17,11,13,2024-08-16,2024-08-29,20,11.1,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra,2024,8
63,1,14,1,1,2023-12-30,2024-01-08,15,105.6,Agente,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra,2023,12
64,15,13,11,13,2024-10-11,2024-10-19,28,9.4,Web,Cancelado,0.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2024,10
65,11,6,7,4,2025-07-17,2025-08-06,7,40.0,Telefono,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Pasaje con equipaje extra,2025,7
66,14,6,10,13,2023-03-26,2023-03-29,15,21.8,Telefono,Cancelado,20.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2023,3
67,6,19,2,8,2025-06-07,2025-07-04,21,131.6,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2025,6
68,13,9,8,4,2024-08-31,2024-09-22,46,35.35,Ventanilla,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones,2024,8
69,4,17,1,5,2025-07-03,2025-07-08,9,123.6,Agente,Viajado,0.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2025,7
70,7,16,3,3,2024-09-16,2024-09-22,10,105.6,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasajero adulto mayor,2024,9
71,1,7,1,1,2024-05-08,2024-05-29,28,106.8,Ventanilla,Cancelado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra,2024,5
72,12,16,7,6,2024-05-29,2024-06-24,16,45.2,Telefono,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2024,5
73,2,12,1,1,2025-03-20,2025-04-16,2,104.4,Web,Cancelado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2025,3
74,12,15,7,6,2025-11-03,2025-11-23,29,41.6,Web,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,Sin observaciones,2025,11
75,11,2,7,4,2022-12-26,2023-01-07,12,45.2,Agente,Cancelado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2022,12
76,3,3,1,3,2024-03-15,2024-03-21,26,96.12,Ventanilla,Viajado,10.0,JUAN CARLOS,Pasaje con equipaje extra,2024,3
77,2,20,1,1,2023-07-17,2023-08-08,25,102.0,Ventanilla,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2023,7
78,10,9,6,10,2023-04-10,2023-04-16,24,94.5,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones,2023,4
79,9,14,5,12,2022-12-12,2023-01-07,5,160.5,Telefono,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Sin observaciones,2022,12
80,1,1,1,1,2025-06-04,2025-06-30,14,115.56,Telefono,Cancelado,10.0,SIN REGISTRO,Pasaje con equipaje extra,2025,6
81,5,13,2,2,2023-08-14,2023-09-05,45,145.6,Ventanilla,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra,2023,8
82,4,14,1,5,2025-03-18,2025-04-15,7,129.6,Agente,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasaje con equipaje extra,2025,3
83,6,2,2,8,2023-11-14,2023-11-22,41,135.8,Ventanilla,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2023,11
84,9,5,5,12,2024-11-03,2024-11-19,11,166.5,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2024,11
85,3,11,1,3,2025-11-07,2025-11-19,1,128.4,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2025,11
86,8,4,4,11,2025-08-19,2025-09-18,10,78.4,Telefono,Viajado,0.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra,2025,8
87,13,7,8,4,2024-07-30,2024-08-01,6,28.35,Web,Cancelado,10.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra,2024,7
88,1,2,1,1,2023-10-07,2023-11-01,31,106.92,Web,Viajado,10.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2023,10
89,8,17,4,11,2025-03-10,2025-03-31,43,79.8,Telefono,Viajado,0.0,RICARDO ERNESTO PONCE MONTAÑO,Pasaje con equipaje extra,2025,3
